candidate,direction,phase,lane,outcome,restored_generation,settled_generation,settled_period,population_at_stop
sl4x4_002,SW,3,4,changed_periodic,,76,1,0
sl4x4_002,NW,0,-5,unresolved_by_horizon,,,,9
sl4x4_002,NW,0,-4,changed_periodic,,46,1,0
sl4x4_002,NW,0,-3,unresolved_by_horizon,,,,95
sl4x4_002,NW,0,-2,changed_periodic,,195,2,15
sl4x4_002,NW,0,-1,changed_periodic,,39,1,0
sl4x4_002,NW,0,0,changed_periodic,,37,1,0
sl4x4_002,NW,0,1,changed_periodic,,189,2,15
sl4x4_002,NW,0,2,unresolved_by_horizon,,,,70
sl4x4_002,NW,0,3,changed_periodic,,32,1,0
sl4x4_002,NW,0,4,unresolved_by_horizon,,,,9
sl4x4_002,NW,1,-5,unresolved_by_horizon,,,,9
sl4x4_002,NW,1,-4,changed_periodic,,45,1,0
sl4x4_002,NW,1,-3,unresolved_by_horizon,,,,90
sl4x4_002,NW,1,-2,changed_periodic,,194,2,15
sl4x4_002,NW,1,-1,changed_periodic,,38,1,0
sl4x4_002,NW,1,0,changed_periodic,,36,1,0
sl4x4_002,NW,1,1,changed_periodic,,188,2,15
sl4x4_002,NW,1,2,unresolved_by_horizon,,,,67
sl4x4_002,NW,1,3,changed_periodic,,31,1,0
sl4x4_002,NW,1,4,unresolved_by_horizon,,,,9
sl4x4_002,NW,2,-5,unresolved_by_horizon,,,,9
sl4x4_002,NW,2,-4,changed_periodic,,44,1,0
sl4x4_002,NW,2,-3,unresolved_by_horizon,,,,83
sl4x4_002,NW,2,-2,changed_periodic,,193,2,15
sl4x4_002,NW,2,-1,changed_periodic,,37,1,0
sl4x4_002,NW,2,0,changed_periodic,,35,1,0
sl4x4_002,NW,2,1,changed_periodic,,187,2,15
sl4x4_002,NW,2,2,unresolved_by_horizon,,,,67
sl4x4_002,NW,2,3,changed_periodic,,30,1,0
sl4x4_002,NW,2,4,unresolved_by_horizon,,,,9
sl4x4_002,NW,3,-5,unresolved_by_horizon,,,,9
sl4x4_002,NW,3,-4,changed_periodic,,43,1,0
sl4x4_002,NW,3,-3,unresolved_by_horizon,,,,86
sl4x4_002,NW,3,-2,changed_periodic,,192,2,15
sl4x4_002,NW,3,-1,changed_periodic,,36,1,0
sl4x4_002,NW,3,0,changed_periodic,,34,1,0
sl4x4_002,NW,3,1,changed_periodic,,186,2,15
sl4x4_002,NW,3,2,unresolved_by_horizon,,,,70
sl4x4_002,NW,3,3,changed_periodic,,29,1,0
sl4x4_002,NW,3,4,unresolved_by_horizon,,,,9
sl4x4_002,NE,0,-3,changed_periodic,,65,1,0
sl4x4_002,NE,0,-2,changed_periodic,,212,2,55
sl4x4_002,NE,0,-1,changed_periodic,,57,1,24
sl4x4_002,NE,0,0,changed_periodic,,41,1,0
sl4x4_002,NE,0,1,unresolved_by_horizon,,,,5
sl4x4_002,NE,0,2,changed_periodic,,45,1,0
sl4x4_002,NE,0,3,changed_periodic,,43,1,0
sl4x4_002,NE,0,4,unresolved_by_horizon,,,,32
sl4x4_002,NE,0,5,changed_periodic,,53,2,3
sl4x4_002,NE,0,6,unresolved_by_horizon,,,,9
sl4x4_002,NE,0,7,changed_periodic,,58,1,0
sl4x4_002,NE,1,-3,changed_periodic,,64,1,0
sl4x4_002,NE,1,-2,changed_periodic,,211,2,55
sl4x4_002,NE,1,-1,changed_periodic,,56,1,24
sl4x4_002,NE,1,0,changed_periodic,,40,1,0
sl4x4_002,NE,1,1,unresolved_by_horizon,,,,5
sl4x4_002,NE,1,2,changed_periodic,,44,1,0
